Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,3,84,7,Some Random Commen with Id 0
1,1,3,169,7,Some Random Commen with Id 1
2,1,3,89,3,Some Random Commen with Id 2
3,1,3,96,0,Some Random Commen with Id 3
4,1,3,65,7,Some Random Commen with Id 4
5,1,3,97,4,Some Random Commen with Id 5
6,2,2,170,1,Some Random Commen with Id 6
7,2,2,187,5,Some Random Commen with Id 7
8,2,2,66,6,Some Random Commen with Id 8
9,2,2,83,1,Some Random Commen with Id 9
10,2,2,43,1,Some Random Commen with Id 10
11,3,4,182,6,Some Random Commen with Id 11
12,3,4,88,5,Some Random Commen with Id 12
13,3,4,63,2,Some Random Commen with Id 13
14,3,4,66,3,Some Random Commen with Id 14
15,3,4,103,1,Some Random Commen with Id 15
16,3,4,119,0,Some Random Commen with Id 16
17,3,4,63,5,Some Random Commen with Id 17
18,3,4,171,7,Some Random Commen with Id 18
19,3,4,186,9,Some Random Commen with Id 19
20,4,4,36,3,Some Random Commen with Id 20
21,4,4,191,8,Some Random Commen with Id 21
22,4,4,7,6,Some Random Commen with Id 22
23,4,4,56,2,Some Random Commen with Id 23
24,4,4,188,4,Some Random Commen with Id 24
25,4,4,29,2,Some Random Commen with Id 25
26,4,4,158,4,Some Random Commen with Id 26
27,4,4,183,5,Some Random Commen with Id 27
28,5,8,6,6,Some Random Commen with Id 28
29,5,8,90,6,Some Random Commen with Id 29
30,5,8,131,7,Some Random Commen with Id 30
31,5,8,82,4,Some Random Commen with Id 31
32,5,8,100,4,Some Random Commen with Id 32
33,5,8,194,5,Some Random Commen with Id 33
34,5,8,78,8,Some Random Commen with Id 34
35,6,3,132,9,Some Random Commen with Id 35
36,6,3,43,2,Some Random Commen with Id 36
37,6,3,77,5,Some Random Commen with Id 37
38,6,3,49,5,Some Random Commen with Id 38
39,6,3,20,7,Some Random Commen with Id 39
40,6,3,158,3,Some Random Commen with Id 40
41,6,3,57,2,Some Random Commen with Id 41
42,6,3,146,3,Some Random Commen with Id 42
43,6,3,125,0,Some Random Commen with Id 43
44,7,0,154,9,Some Random Commen with Id 44
45,7,0,42,4,Some Random Commen with Id 45
46,7,0,177,1,Some Random Commen with Id 46
47,7,0,140,0,Some Random Commen with Id 47
48,7,0,5,6,Some Random Commen with Id 48
49,7,0,174,2,Some Random Commen with Id 49
50,8,3,138,9,Some Random Commen with Id 50
51,8,3,23,1,Some Random Commen with Id 51
52,8,3,190,9,Some Random Commen with Id 52
53,8,3,144,1,Some Random Commen with Id 53
54,8,3,68,2,Some Random Commen with Id 54
55,8,3,8,1,Some Random Commen with Id 55
56,8,3,196,3,Some Random Commen with Id 56
57,8,3,106,1,Some Random Commen with Id 57
58,9,5,81,3,Some Random Commen with Id 58
59,9,5,45,7,Some Random Commen with Id 59
60,9,5,5,2,Some Random Commen with Id 60
61,9,5,53,5,Some Random Commen with Id 61
62,9,5,109,9,Some Random Commen with Id 62
63,10,4,103,9,Some Random Commen with Id 63
64,11,2,43,8,Some Random Commen with Id 64
65,11,2,199,8,Some Random Commen with Id 65
66,12,4,18,2,Some Random Commen with Id 66
67,12,4,33,3,Some Random Commen with Id 67
68,12,4,115,6,Some Random Commen with Id 68
69,12,4,9,5,Some Random Commen with Id 69
70,12,4,40,2,Some Random Commen with Id 70
71,13,4,149,6,Some Random Commen with Id 71
72,13,4,77,7,Some Random Commen with Id 72
73,13,4,113,1,Some Random Commen with Id 73
74,13,4,97,1,Some Random Commen with Id 74
75,15,3,181,8,Some Random Commen with Id 75
